"SEQ_KEY","COORD_OP_CODE","SOURCE_CRS_CODE","TARGET_CRS_CODE","REMARKS","COORD_OP_SCOPE","AREA_OF_USE_CODE","AREA_SOUTH_BOUND_LAT","AREA_NORTH_BOUND_LAT","AREA_WEST_BOUND_LON","AREA_EAST_BOUND_LON","SHOW_OPERATION","DEPRECATED","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS","PREFERRED"
1,1825,4611,4326,Published 1st March 2002.,Accuracy to 1m level.,1118,22.16,22.62,113.89,114.57,1,0,9606,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.094246,1
2,1826,4612,4326,,"Approximation at the +/- 1m level.",1129,19.01,45.92,122.49,160.09,1,0,9603,0,0,0,,,,,1
3,1838,4613,4326,Datum shift derived through ITRF93.,Oil exploration.,1328,-1.35,0,116.9,118,1,0,9603,-404.78,685.68,45.47,,,,,0
4,1897,4613,4326,Accuracy estimate not available.,For military purposes.,2354,-5.72,4.4,104.94,119.62,1,0,9603,-403,684,41,,,,,1
5,1898,4613,4326,,Oil exploration.,1360,-5.72,4.4,113.69,119.62,1,0,9603,-387.06,636.53,46.29,,,,,0
6,1899,4613,4326,,Oil exploration.,2770,-2.35,4.4,113.7,119.62,1,0,9603,-403.4,681.12,46.56,,,,,0
7,1840,4614,4326,"Transformation defines QND95. May be approximated to 1m throughout Qatar by geocentric translation transformation with dX=-127.78098m, dY=-283.37477m, dZ=+21.24081m.",Parameter values are defined and therefore exact.,1346,24.48,26.18,50.75,51.64,1,0,9606,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.657065,1
8,1888,4615,4326,Derived at 2 stations.,For military purposes only. Accuracy 25m in each axis.,1314,32.39,33.15,-17.27,-16.25,1,0,9603,-499,-249,314,,,,,1
9,1889,4616,4326,Derived at 1 station.,For military purposes only. Accuracy 25m in each axis.,2779,30.1,30.2,-15.9,-15.8,1,1,9603,-289,-124,60,,,,,0
10,1965,4616,4326,Derived at 1 station.,For military purposes only. Accuracy 25m in each axis.,2779,30.1,30.2,-15.9,-15.8,1,0,9603,-289,-124,60,,,,,1
11,1842,4617,4326,"For many purposes NAD83(CSRS) can be considered to be coincident with WGS 84.","Approximation at the +/- 1m level assuming that NAD83(CSRS) is equivalent to WGS 84.",1061,41.68,85.05,-141.15,-48.06,1,0,9603,0,0,0,,,,,1
12,1946,4617,4326,"Jointly derived by US NGS and Geodetic Survey of Canada - see also code 1901. Strictly between NAD83(CSRS) and ITRF96(1997.0).",Geodesy.,1061,41.68,85.05,-141.15,-48.06,1,0,9607,-0.991,1.9072,0.5129,-0.0257899075194932,-0.0096500989602704,-0.0116599432323421,0,0
13,1864,4618,4326,Derived at 84 stations.,"For military purposes only. Accuracy 15m, 6m and 9m in X, Y and Z axes.",1341,-56.15,13,-82,-34,1,0,9603,-57,1,-41,,,,,1
14,1865,4618,4326,Derived at 10 stations.,For military purposes only. Accuracy 5m in each axis.,1033,-60.04,-21.8,-73.62,-53.5,1,0,9603,-62,-1,-37,,,,,0
15,1866,4618,4326,Derived at 4 stations.,For military purposes. Accuracy 15m in each axis.,1049,-22.91,-9.69,-69.69,-57.49,1,0,9603,-61,2,-48,,,,,0
16,1867,4618,4326,Derived at 22 stations.,"For military purposes only. Accuracy 3m, 5m and 5m in X, Y and Z axes.",1053,-35.89,7.25,-74.05,-26.12,1,0,9603,-60,-2,-41,,,,,0
17,1868,4618,4326,Derived at 9 stations.,"For military purposes only. Accuracy 15m, 8m and 11m in X, Y and Z axes.",1066,-60.04,-17.52,-113.28,-66.39,1,0,9603,-75,-1,-44,,,,,0
