"subcat","short_name","name","unit","unit_conv"
-4,"######################################################################################################","#","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/a3711da874bc936639c4e4f26fa91c4b02659e61","#","#","#"
-1,"######################################################################################################","#","#","#"
0,"MASSDEN","Mass Density (Concentration)","kg/(m^3)","UC_NONE"
1,"COLMD","Column-Integrated Mass Density","kg/(m^2)","UC_NONE"
2,"MASSMR","Mass Mixing Ratio (Mass Fraction in Air)","kg/kg","UC_NONE"
3,"AEMFLX","Atmosphere Emission Mass Flux","kg/(m^2*s)","UC_NONE"
4,"ANPMFLX","Atmosphere Net Production Mass Flux","kg/(m^2*s)","UC_NONE"
5,"ANPEMFLX","Atmosphere Net Production and Emission Mass Flux","kg/(m^2*s)","UC_NONE"
6,"SDDMFLX","Surface Dry Deposition Mass Flux","kg/(m^2*s)","UC_NONE"
7,"SWDMFLX","Surface Wet Deposition Mass Flux","kg/(m^2*s)","UC_NONE"
8,"AREMFLX","Atmosphere Re-Emission Mass Flux","kg/(m^2*s)","UC_NONE"
9,"WLSMFLX","Wet Deposition by Large-Scale Precipitation Mass Flux","kg/(m^2*s)","UC_NONE"
10,"WDCPMFLX","Wet Deposition by Convective Precipitation Mass Flux","kg/(m^2*s)","UC_NONE"
11,"SEDMFLX","Sedimentation Mass Flux","kg/(m^2*s)","UC_NONE"
12,"DDMFLX","Dry Deposition Mass Flux","kg/(m^2*s)","UC_NONE"
13,"TRANHH","Transfer From Hydrophobic to Hydrophilic","kg(kg*s)","UC_NONE"
14,"TRSDS","Transfer From SO2 (Sulphur Dioxide) to SO4 (Sulphate)","kg(kg*s)","UC_NONE"
15,"DDVEL","Dry deposition velocity","m/s","UC_NONE"
16,"MSSRDRYA","Mass mixing ratio with respect to dry air","kg/kg","UC_NONE"
17,"MSSRWETA","Mass mixing ratio with respect to wet air","kg/kg","UC_NONE"
18,"","Reserved","-","UC_NONE"
19,"","Reserved","-","UC_NONE"
20,"","Reserved","-","UC_NONE"
21,"","Reserved","-","UC_NONE"
22,"","Reserved","-","UC_NONE"
23,"","Reserved","-","UC_NONE"
24,"","Reserved","-","UC_NONE"
25,"","Reserved","-","UC_NONE"
26,"","Reserved","-","UC_NONE"
27,"","Reserved","-","UC_NONE"
28,"","Reserved","-","UC_NONE"
29,"","Reserved","-","UC_NONE"
30,"","Reserved","-","UC_NONE"
31,"","Reserved","-","UC_NONE"
32,"","Reserved","-","UC_NONE"
33,"","Reserved","-","UC_NONE"
34,"","Reserved","-","UC_NONE"
35,"","Reserved","-","UC_NONE"
36,"","Reserved","-","UC_NONE"
37,"","Reserved","-","UC_NONE"
38,"","Reserved","-","UC_NONE"
39,"","Reserved","-","UC_NONE"
40,"","Reserved","-","UC_NONE"
41,"","Reserved","-","UC_NONE"
42,"","Reserved","-","UC_NONE"
43,"","Reserved","-","UC_NONE"
44,"","Reserved","-","UC_NONE"
