prod,cat,subcat,short_name,name,unit,unit_conv
209,2,0,"NLDN_CG_001min_AvgDensity","CG Average Lightning Density 1-min - NLDN","flashes/km^2/min",UC_NONE
209,2,1,"NLDN_CG_005min_AvgDensity","CG Average Lightning Density 5-min - NLDN","flashes/km^2/min",UC_NONE
209,2,2,"NLDN_CG_015min_AvgDensity","CG Average Lightning Density 15-min - NLDN","flashes/km^2/min",UC_NONE
209,2,3,"NLDN_CG_030min_AvgDensity","CG Average Lightning Density 30-min - NLDN","flashes/km^2/min",UC_NONE
209,2,4,"LightningProbabilityNext30min","Lightning Probability 0-30 minutes - NLDN","%",UC_NONE
209,2,5,"LightningProbabilityNext30minGrid","Lightning Probability 0-30 minutes - NLDN","%",UC_NONE
209,2,6,"LightningProbabilityNext60minGrid","Lightning Probability 0-30 minutes - NLDN","%",UC_NONE
209,2,7,"LightningJumpGrid","Rapid lightning increases and decreases ","non-dim",UC_NONE
209,2,8,"LightningJumpGrid_Max_005min","Rapid lightning increases and decreases over 5-minutes ","non-dim",UC_NONE
209,3,0,"MergedAzShear0to2kmAGL","Azimuth Shear 0-2km AGL","0.001/s",UC_NONE
209,3,1,"MergedAzShear3to6kmAGL","Azimuth Shear 3-6km AGL","0.001/s",UC_NONE
209,3,2,"RotationTrack30min","Rotation Track 0-2km AGL 30-min","0.001/s",UC_NONE
209,3,3,"RotationTrack60min","Rotation Track 0-2km AGL 60-min","0.001/s",UC_NONE
209,3,4,"RotationTrack120min","Rotation Track 0-2km AGL 120-min","0.001/s",UC_NONE
209,3,5,"RotationTrack240min","Rotation Track 0-2km AGL 240-min","0.001/s",UC_NONE
209,3,6,"RotationTrack360min","Rotation Track 0-2km AGL 360-min","0.001/s",UC_NONE
209,3,7,"RotationTrack1440min","Rotation Track 0-2km AGL 1440-min","0.001/s",UC_NONE
209,3,14,"RotationTrackML30min","Rotation Track 3-6km AGL 30-min","0.001/s",UC_NONE
209,3,15,"RotationTrackML60min","Rotation Track 3-6km AGL 60-min","0.001/s",UC_NONE
209,3,16,"RotationTrackML120min","Rotation Track 3-6km AGL 120-min","0.001/s",UC_NONE
209,3,17,"RotationTrackML240min","Rotation Track 3-6km AGL 240-min","0.001/s",UC_NONE
209,3,18,"RotationTrackML360min","Rotation Track 3-6km AGL 360-min","0.001/s",UC_NONE
209,3,19,"RotationTrackML1440min","Rotation Track 3-6km AGL 1440-min","0.001/s",UC_NONE
209,3,26,"SHI","Severe Hail Index","index",UC_NONE
209,3,27,"POSH","Prob of Severe Hail","%",UC_NONE
209,3,28,"MESH","Maximum Estimated Size of Hail (MESH)","mm",UC_NONE
209,3,29,"MESHMax30min","MESH Hail Swath 30-min","mm",UC_NONE
209,3,30,"MESHMax60min","MESH Hail Swath 60-min","mm",UC_NONE
209,3,31,"MESHMax120min","MESH Hail Swath 120-min","mm",UC_NONE
209,3,32,"MESHMax240min","MESH Hail Swath 240-min","mm",UC_NONE
209,3,33,"MESHMax360min","MESH Hail Swath 360-min","mm",UC_NONE
209,3,34,"MESHMax1440min","MESH Hail Swath 1440-min","mm",UC_NONE
209,3,37,"VIL_Max_120min","VIL Swath 120-min","kg/m^2",UC_NONE
209,3,40,"VIL_Max_1440min","VIL Swath 1440-min","kg/m^2",UC_NONE
209,3,41,"VIL","Vertically Integrated Liquid","kg/m^2",UC_NONE
209,3,42,"VIL_Density","Vertically Integrated Liquid Density","g/m^3",UC_NONE
209,3,43,"VII","Vertically Integrated Ice","kg/m^2",UC_NONE
209,3,44,"EchoTop_18","Echo Top - 18 dBZ","km MSL",UC_NONE
209,3,45,"EchoTop_30","Echo Top - 30 dBZ","km MSL",UC_NONE
209,3,46,"EchoTop_50","Echo Top - 50 dBZ","km MSL",UC_NONE
209,3,47,"EchoTop_60","Echo Top - 60 dBZ","km MSL",UC_NONE
209,3,48,"H50AboveM20C","Thickness [50 dBZ top - (-20C)]","km",UC_NONE
209,3,49,"H50Above0C","Thickness [50 dBZ top - 0C]","km",UC_NONE
209,3,50,"H60AboveM20C","Thickness [60 dBZ top - (-20C)]","km",UC_NONE
209,3,51,"H60Above0C","Thickness [60 dBZ top - 0C]","km",UC_NONE
209,3,52,"Reflectivity_0C","Isothermal Reflectivity at 0C","dBZ",UC_NONE
209,3,53,"Reflectivity_-5C","Isothermal Reflectivity at -5C","dBZ",UC_NONE
209,3,54,"Reflectivity_-10C","Isothermal Reflectivity at -10C","dBZ",UC_NONE
209,3,55,"Reflectivity_-15C","Isothermal Reflectivity at -15C","dBZ",UC_NONE
209,3,56,"Reflectivity_-20C","Isothermal Reflectivity at -20C","dBZ",UC_NONE
209,3,57,"ReflectivityAtLowestAltitude","ReflectivityAtLowestAltitude","dBZ",UC_NONE
