"code","short_name","name","unit"
-4,"######################################################################################################","#","#"
-3,"DO NOT MODIFY THIS FILE. It is generated by frmts/grib/degrib/merge_degrib_and_wmo_tables.py","#","#"
-2,"from tables at version https://github.com/wmo-im/GRIB2/commit/a3711da874bc936639c4e4f26fa91c4b02659e61","#","#"
-1,"######################################################################################################","#","#"
0,"RESERVED","Reserved","-"
1,"SFC","Ground or water surface","-"
2,"CBL","Cloud base level","-"
3,"CTL","Level of cloud tops","-"
4,"0DEG","Level of 0 degree C isotherm","-"
5,"ADCL","Level of adiabatic condensation lifted from the surface","-"
6,"MWSL","Maximum wind level","-"
7,"TRO","Tropopause","-"
8,"NTAT","Nominal top of atmosphere","-"
9,"SEAB","Sea bottom","-"
10,"EATM","Entire Atmosphere","-"
11,"CB","Cumulonimbus Base","m"
12,"CT","Cumulonimbus Top","m"
13,"unknown","Lowest level where vertically integrated cloud cover exceeds the specified percentage (cloud base for a given percentage cloud cover)","%"
14,"LFC","Level of free convection","-"
15,"CCL","Convection condensation level","-"
16,"LNB","Level of neutral buoyancy or equilibrium","-"
17,"","Departure level of the most unstable parcel of air (MUDL)","-"
18,"","Departure level of a mixed layer parcel of air with specified layer depth","Pa"
19,"","Reserved","-"
20,"TMPL","Isothermal level","K"
21,"","Lowest level where mass density exceeds the specified value (base for a given threshold of mass density)","kg m-3"
22,"","Highest level where mass density exceeds the specified value (top for a given threshold of mass density)","kg m-3"
23,"","Lowest level where air concentration exceeds the specified value (base for a given threshold of air concentration)","Bq m-3"
24,"","Highest level where air concentration exceeds the specified value (top for a given threshold of air concentration)","Bq m-3"
25,"","Highest level where radar reflectivity exceeds the specified value (echo top for a given threshold of reflectivity)","dBZ"
26,"","Convective cloud layer base","m"
27,"","Convective cloud layer top","m"
28,"","Reserved","-"
29,"","Reserved","-"
30,"","Specified radius from the center of the Sun","m"
31,"","Solar photosphere","-"
32,"","Ionospheric D-region level","-"
33,"","Ionospheric E-region level","-"
34,"","Ionospheric F1-region level","-"
35,"","Ionospheric F2-region level","-"
36,"","Reserved","-"
37,"","Reserved","-"
38,"","Reserved","-"
39,"","Reserved","-"
40,"","Reserved","-"
41,"","Reserved","-"
42,"","Reserved","-"
43,"","Reserved","-"
44,"","Reserved","-"
45,"","Reserved","-"
46,"","Reserved","-"
47,"","Reserved","-"
48,"","Reserved","-"
49,"","Reserved","-"
50,"","Reserved","-"
51,"","Reserved","-"
52,"","Reserved","-"
53,"","Reserved","-"
54,"","Reserved","-"
55,"","Reserved","-"
56,"","Reserved","-"
57,"","Reserved","-"
58,"","Reserved","-"
59,"","Reserved","-"
60,"","Reserved","-"
61,"","Reserved","-"
62,"","Reserved","-"
63,"","Reserved","-"
64,"","Reserved","-"
65,"","Reserved","-"
66,"","Reserved","-"
67,"","Reserved","-"
68,"","Reserved","-"
69,"","Reserved","-"
70,"","Reserved","-"
71,"","Reserved","-"
72,"","Reserved","-"
73,"","Reserved","-"
74,"","Reserved","-"
75,"","Reserved","-"
76,"","Reserved","-"
77,"","Reserved","-"
