"TRF_PATH_CODE","TRF_STEP_CODE","SOURCE_HORIZCS_CODE","TARGET_HORIZCS_CODE","POLYN_TRF_CODE","NONPOLYN_TRF_CODE","CHANGE_ID"
8400,1,4201,4326,,1100,
8401,1,4201,4326,,1101,
8402,1,4201,4326,,1102,
8403,1,4201,4326,,1103,
8404,1,4201,4326,,1104,
8405,1,4201,4326,,1105,
8406,1,4201,4326,,1106,
8407,1,4205,4326,,1107,
8408,1,4202,4326,,1108,
8409,1,4203,4326,,1109,
8410,1,4204,4326,,1110,
8411,1,4204,4326,,1111,
8412,1,4289,4326,,1112,
8413,1,4209,4326,,1113,
8414,1,4209,4326,,1114,
8415,1,4209,4326,,1115,
8416,1,4209,4326,,1116,
8417,1,4209,4326,,1117,
8418,1,4209,4326,,1118,
8419,1,4209,4326,,1119,
8420,1,4209,4326,,1120,
8421,1,4209,4326,,1121,
8422,1,4210,4326,,1122,
8423,1,4211,4326,,1123,
8424,1,4216,4326,,1124,
8425,1,4218,4326,,1125,
8426,1,4219,4326,,1126,
8427,1,4221,4326,,1127,
8428,1,4222,4326,,1128,
8429,1,4222,4326,,1129,
8430,1,4223,4326,,1130,
8431,1,4224,4326,,1131,
8432,1,4225,4326,,1132,
8433,1,4230,4326,,1133,
8434,1,4230,4326,,1134,
8435,1,4230,4326,,1135,
8436,1,4230,4326,,1136,
8437,1,4230,4326,,1137,
8438,1,4230,4326,,1138,
8439,1,4230,4326,,1139,
8440,1,4230,4326,,1140,
8441,1,4230,4326,,1141,
8442,1,4230,4326,,1142,
8443,1,4230,4326,,1143,
8444,1,4230,4326,,1144,
8445,1,4230,4326,,1145,
8446,1,4230,4231,1000,,
8446,2,4231,4326,,1146,
8447,1,4230,4231,,1147,
8447,2,4231,4326,,1146,
8448,1,4229,4326,,1148,
8449,1,4258,4326,,1149,
8450,1,4283,4326,,1150,
8451,1,4272,4326,,1151,
8452,1,4236,4326,,1152,
8453,1,4239,4326,,1153,
8454,1,4240,4326,,1154,
8455,1,4144,4326,,1155,97.235
8456,1,4146,4326,,1156,97.235
8457,1,4244,4326,,1157,
8458,1,4245,4326,,1158,
8459,1,4250,4326,,1159,
8460,1,4251,4326,,1160,
8461,1,4253,4326,,1161,
8462,1,4253,4326,,1162,
8463,1,4266,4326,,1163,
8464,1,4256,4326,,1164,
8465,1,4262,4326,,1165,
8466,1,4261,4326,,1166,
8467,1,4263,4326,,1167,
8468,1,4263,4326,,1168,
8469,1,4265,4326,,1169,
8470,1,4267,4326,,1170,
8471,1,4267,4326,,1171,
8472,1,4267,4326,,1172,
8473,1,4267,4326,,1173,
8474,1,4267,4326,,1174,
8475,1,4267,4326,,1175,
8476,1,4267,4326,,1176,
8477,1,4267,4326,,1177,
8478,1,4267,4326,,1178,
8479,1,4267,4326,,1179,
8480,1,4267,4326,,1180,
8481,1,4267,4326,,1181,
8482,1,4267,4326,,1182,
8483,1,4267,4326,,1183,
8484,1,4267,4326,,1184,
8485,1,4267,4326,,1185,
8486,1,4267,4326,,1186,
8487,1,4267,4326,,1187,
8488,1,4269,4326,,1188,
8489,1,4270,4326,,1189,
8490,1,4270,4326,,1190,
8491,1,4270,4326,,1191,
8492,1,4271,4326,,1192,
8493,1,4275,4326,,1193,
8494,1,4807,4275,,1467,97.05
8494,2,4275,4326,,1193,
8495,1,4277,4326,,1195,
8496,1,4277,4326,,1196,
8497,1,4277,4326,,1197,
8498,1,4277,4326,,1198,
8499,1,4277,4326,,1199,
8500,1,4282,4326,,1200,
8501,1,4248,4326,,1201,
8502,1,4248,4326,,1202,
8503,1,4248,4326,,1203,
8504,1,4248,4326,,1204,
8505,1,4248,4326,,1205,
8506,1,4248,4326,,1206,
8507,1,4248,4326,,1207,
8508,1,4248,4326,,1208,
8509,1,4248,4326,,1209,
8510,1,4285,4326,,1210,
8511,1,4287,4326,,1211,
8512,1,4291,4326,,1212,
8513,1,4291,4326,,1213,
8514,1,4291,4326,,1214,
8515,1,4291,4326,,1215,
8516,1,4291,4326,,1216,
8517,1,4291,4326,,1217,
8518,1,4291,4326,,1218,
8519,1,4291,4326,,1219,
8520,1,4291,4326,,1220,
8521,1,4291,4326,,1221,
8522,1,4291,4326,,1222,
8523,1,4291,4326,,1223,
8524,1,4291,4326,,1224,
8525,1,4292,4326,,1225,
8526,1,4293,4326,,1226,
8527,1,4297,4326,,1227,
8528,1,4298,4326,,1228,
8529,1,4299,4326,,1229,
8530,1,4301,4326,,1230,
8531,1,4301,4326,,1231,
8532,1,4301,4326,,1232,
8533,1,4301,4326,,1233,
8534,1,4309,4326,,1234,
8535,1,4311,4326,,1235,
8536,1,4230,4231,1000,,
8537,1,4231,4326,,1146,
8538,1,4230,4231,,1147,
8539,1,4203,4326,,1236,
8540,1,4322,4326,,1237,
8541,1,4322,4326,,1238,
8542,1,4324,4322,,1239,
8543,1,4324,4326,,1240,
8544,1,4267,4269,,1241,
8546,1,4267,4269,,1243,
8548,1,4230,4326,,1245,
8549,1,4255,4326,,1246,
8550,1,4145,4326,,1247,97.235
8551,1,4238,4326,,1248,
8552,1,4267,4326,,1249,
8553,1,4267,4326,,1250,
8554,1,4269,4326,,1251,
8555,1,4269,4326,,1252,
8556,1,4307,4326,,1253,
8557,1,4284,4326,,1254,
8558,1,4305,4326,,1255,
8559,1,4232,4326,,1256,
8560,1,4807,4275,,1467,99.63
8561,1,4801,4217,,1257,
8562,1,4802,4218,,1258,
8563,1,4802,4218,,1258,
8563,2,4218,4326,,1125,
8564,1,4803,4207,,1259,
8565,1,4804,4257,,1260,
8566,1,4805,4312,,1261,
8567,1,4806,4265,,1262,
8568,1,4806,4265,,1262,
8568,2,4265,4326,,1169,
8569,1,4808,4280,,1263,
8570,1,4809,4215,,1264,
8571,1,4810,4297,,1265,
8572,1,4810,4297,,1265,
8572,2,4297,4326,,1227,
8573,1,4811,4304,,1266,
8574,1,4812,4305,,1267,
8575,1,4812,4305,,1267,
8575,2,4305,4326,,1255,
8576,1,4813,4211,,1268,
8577,1,4813,4211,,1268,
8577,2,4211,4326,,1123,
8578,1,4814,4308,,1269,98.51
8579,1,4815,4120,,1270,
8580,1,4293,4326,,1271,
8581,1,4121,4326,,1272,
8582,1,4237,4258,,1273,
8583,1,4237,4258,,1273,
8583,2,4258,4326,,1149,
8584,1,4230,4326,,1275,
8585,1,4275,4230,,1276,
8586,1,4807,4275,,1467,
8586,2,4275,4230,,1276,
8587,1,4275,4322,,1277,
8588,1,4807,4275,,1467,
8588,2,4275,4322,,1277,
8589,1,4202,4283,,1278,
8590,1,4202,4283,,1278,
8590,2,4283,4326,,1150,98.50
8591,1,4203,4283,,1279,
8592,1,4203,4283,,1279,
8592,2,4283,4326,,1150,98.50
8593,1,4203,4283,,1280,
8594,1,4203,4283,,1280,
8594,2,4283,4326,,1150,98.50
8595,1,4124,4258,,1437,99.11
8595,2,4258,4326,,1149,99.11
8596,1,4125,4326,,1282,
8597,1,4284,4126,,1274,
8598,1,4126,4326,,1283,
8599,1,4210,4326,,1284,
8600,1,4210,4326,,1285,
8601,1,4294,4326,,1286,
8602,1,4284,4326,,1287,
8603,1,4284,4326,,1288,
8604,1,4284,4326,,1289,
8605,1,4284,4326,,1290,
8606,1,4284,4326,,1291,
8607,1,4284,4326,,1292,
8608,1,4284,4326,,1293,
8609,1,4284,4126,,1274,
8609,2,4126,4326,,1283,
8610,1,4304,4326,,1294,
8611,1,4811,4304,,1266,
8611,2,4304,4326,,1294,
8612,1,4271,4326,,1295,
8613,1,4302,4326,,1296,
8614,1,4127,4130,,1297,
8615,1,4127,4130,,1297,
8615,2,4130,4326,,1302,
8616,1,4127,4130,,1298,
8617,1,4127,4130,,1298,
8617,2,4130,4326,,1302,
8618,1,4127,4130,,1299,
8619,1,4127,4130,,1299,
8619,2,4130,4326,,1302,
8620,1,4127,4130,,1300,
8621,1,4127,4130,,1300,
8621,2,4130,4326,,1302,
8622,1,4127,4130,,1301,
8623,1,4127,4130,,1301,
8623,2,4130,4326,,1302,
8624,1,4130,4326,,1302,
8625,1,4284,4326,,1303,
8626,1,4240,4326,,1304,
8627,1,4301,4326,,1305,
8628,1,4312,4326,,1306,
8629,1,4271,4326,,1307,
8633,1,4314,4258,,1309,
8634,1,4314,4258,,1309,
8634,2,4258,4326,,1149,
8635,1,4284,4258,,1310,
8636,1,4284,4258,,1310,
8636,2,4258,4326,,1149,
