"ENCODING value","MapInfo charset",description
""""" (empty string)",Neutral,"No character conversions performed."
"ISO-8859-1","ISO8859_1","ISO 8859-1 (UNIX)"
"ISO-8859-2","ISO8859_2","ISO 8859-2 (UNIX)"
"ISO-8859-3","ISO8859_3","ISO 8859-3 (UNIX)"
"ISO-8859-4","ISO8859_4","ISO 8859-4 (UNIX)"
"ISO-8859-5","ISO8859_5","ISO 8859-5 (UNIX)"
"ISO-8859-6","ISO8859_6","ISO 8859-6 (UNIX)"
"ISO-8859-7","ISO8859_7","ISO 8859-7 (UNIX)"
"ISO-8859-8","ISO8859_8","ISO 8859-8 (UNIX)"
"ISO-8859-9","ISO8859_9","ISO 8859-9 (UNIX)"
"EUC-JP","PackedEUCJapaese","UNIX, standard Japanese implementation."
"CP1252","WindowsLatin1",""
"CP1250","WindowsLatin2",""
"CP1256","WindowsArabic",""
"CP1251","WindowsCyrillic",""
"CP1257","WindowsBalticRim",""
"CP1253","WindowsGreek",""
"CP1255","WindowsHebrew",""
"CP1254","WindowsTurkish","Windows Eastern Europe"
"CP950","WindowsTradChinese","Windows Traditional Chinese"
"CP936","WindowsSimpChinese","Windows Simplified Chinese"
"CP932","WindowsJapanese",""
"CP949","WindowsKorean",""
"CP437","CodePage437","DOS Code Page 437 = IBM Extended ASCII"
"CP850","CodePage850","DOS Code Page 850 = Multilingual"
"CP852","CodePage852","DOS Code Page 852 = Eastern Europe"
"CP855","CodePage855","DOS Code Page 855 = Cyrillic"
"CP857","CodePage857",""
"CP860","CodePage860","DOS Code Page 860 = Portuguese"
"CP861","CodePage861","DOS Code Page 861 = Icelandic"
"CP863","CodePage863","DOS Code Page 863 = French Canadian"
"CP864","CodePage864","DOS Code Page 864 = Arabic"
"CP865","CodePage865","DOS Code Page 865 = Nordic"
"CP869","CodePage869","DOS Code Page 869 = Modern Greek"
"(no iconv match)","LICS","Lotus worksheet release 1,2 character set"
"(no iconv match)","LMBCS","Lotus worksheet release 3,4 character set"
