subcat,short_name,name,unit,unit_conv
0,"SPFH","Specific humidity","kg/kg",UC_NONE
1,"RH","Relative humidity","%",UC_NONE
2,"MIXR","Humidity mixing ratio","kg/kg",UC_NONE
3,"PWAT","Precipitable water","kg/(m^2)",UC_NONE
4,"VAPP","Vapor pressure","Pa",UC_NONE
5,"SATD","Saturation deficit","Pa",UC_NONE
6,"EVP","Evaporation","kg/(m^2)",UC_InchWater
7,"PRATE","Precipitation rate","kg/(m^2 s)",UC_NONE
8,"APCP","Total precipitation","kg/(m^2)",UC_InchWater
9,"NCPCP","Large scale precipitation","kg/(m^2)",UC_NONE
10,"ACPCP","Convective precipitation","kg/(m^2)",UC_NONE
11,"SNOD","Snow depth","m",UC_M2Inch
12,"SRWEQ","Snowfall rate water equivalent","kg/(m^2 s)",UC_NONE
13,"WEASD","Water equivalent of accumulated snow depth","kg/(m^2)",UC_NONE
14,"SNOC","Convective snow","kg/(m^2)",UC_NONE
15,"SNOL","Large scale snow","kg/(m^2)",UC_NONE
16,"SNOM","Snow melt","kg/(m^2)",UC_NONE
17,"SNOAG","Snow age","day",UC_NONE
18,"ABSH","Absolute humidity","kg/(m^3)",UC_NONE
19,"PTYPE","Precipitation type","1=Rain; 2=Thunderstorm; 3=Freezing Rain; 4=Mixed/ice; 5=snow; 255=missing",UC_NONE
20,"ILIQW","Integrated liquid water","kg/(m^2)",UC_NONE
21,"TCOND","Condensate","kg/kg",UC_NONE
22,"CLWMR","Cloud mixing ratio","kg/kg",UC_NONE
23,"ICMR","Ice water mixing ratio","kg/kg",UC_NONE
24,"RWMR","Rain mixing ratio","kg/kg",UC_NONE
25,"SNMR","Snow mixing ratio","kg/kg",UC_NONE
26,"MCONV","Horizontal moisture convergence","kg/(kg s)",UC_NONE
27,"MAXRH","Maximum relative humidity","%",UC_NONE
28,"MAXAH","Maximum absolute humidity","kg/(m^3)",UC_NONE
29,"ASNOW","Total snowfall","m",UC_M2Inch
30,"PWCAT","Precipitable water category","undefined",UC_NONE
31,"HAIL","Hail","m",UC_NONE
32,"GRLE","Graupel (snow pellets)","kg/kg",UC_NONE
33,"CRAIN","Categorical rain","0=no; 1=yes",UC_NONE
34,"CFRZR","Categorical freezing rain","0=no; 1=yes",UC_NONE
35,"CICEP","Categorical ice pellets","0=no; 1=yes",UC_NONE
36,"CSNOW","Categorical snow","0=no; 1=yes",UC_NONE
37,"CPRAT","Convective precipitation rate","kg/(m^2*s)",UC_NONE
38,"MCONV","Horizontal moisture divergence","kg/(kg*s)",UC_NONE
39,"CPOFP","Percent frozen precipitation","%",UC_NONE
40,"PEVAP","Potential evaporation","kg/m^2",UC_NONE
41,"PEVPR","Potential evaporation rate","W/m^2",UC_NONE
42,"SNOWC","Snow cover","%",UC_NONE
