PSIDGEODES;ID_GEODES;NOTA_CAT;NOTA_SPA;NOTA_ENG
ESRI:102022;Albers_Equal_Area-Africa-WGS84;;;
ESRI:102025;Albers_Equal_Area-Asia_North-WGS84;;;
EPSG:5070;Albers_Equal_Area-N_America-NAD83;https://epsg.io/5070;https://epsg.io/5070;https://epsg.io/5070
Azimuthal_Equidistant;Azimuthal_Equidistant-0-90-WGS84;;;
EPSG:4088;Cilindrical_Equidistant-WGS84;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
Cylindrical_Equal_Area;Cylindrical_Equal_Area-15-0-WGS84;;;
EPSG:22171;Gauss-Kruger_Faja1-PosGAR98;;;
EPSG:22172;Gauss-Kruger_Faja2-PosGAR98;;;
EPSG:22173;Gauss-Kruger_Faja3-PosGAR98;;;
EPSG:22174;Gauss-Kruger_Faja4-PosGAR98;;;
EPSG:22175;Gauss-Kruger_Faja5-PosGAR98;;;
EPSG:22176;Gauss-Kruger_Faja6-PosGAR98;;;
EPSG:22177;Gauss-Kruger_Faja7-PosGAR98;;;
EPSG:3763;Gauss-Kruger_Portugal-ETRS89;;;
PT-TM06/ETRS89;Gauss-Kruger_Portugal-ETRS89;;;
EPSG:20791;Gauss-Kruger_Portugal-Lisboa1937;;;
EPSG:2932;Gauss-Kruger_Qatar-QND;;;
EPSG:3116;Gauss-Kruger_Zona2-MAGNA;;;
SR-ORG:9111;Geostationary-WGS84;;;
Goode_Homolosine;Goode_Homolosine-WGS84;;;
ESRI:102017;LambertAzimEqualA-0-90-WGS84-Ellipsoide;https://epsg.io/102017;https://epsg.io/102017;https://epsg.io/102017
EPSG:9821;LambertAzimEqualA-0-90-WGS84-Esfera;https://epsg.io/9821-method;https://epsg.io/9821-method;https://epsg.io/9821-method
Lambert_Azimuthal_Equal_Area;LambertAzimEqualA-0-90-WGS84-Esfera;;;
Lambert_Azimuthal_Equal_Area-0-90-WGS84;LambertAzimEqualA-0-90-WGS84-Esfera;;;
EPSG:3035;Lambert_Azimuthal_Equal_Area-1052-ETRS89;;;
urn:ogc:def:crs:EPSG::3035;Lambert_Azimuthal_Equal_Area-1052-ETRS89;;;
ETRS-LAEA;Lambert_Azimuthal_Equal_Area-1052-ETRS89;;;
SR-ORG:7297;Lambert_Azimuthal_Equal_Area-9-48-ETRS89;;;
ETRS-LCC;Lambert_Conformal_Conic-Europa-ETRS89;;;
EPSG:3034;Lambert_Conformal_Conic-Europa-ETRS89;;;
EPSG:2154;Lambert_Conformal_Conic-França-ETRS89;;;
EPSG:2062;Lambert_Conformal_Conic-Madrid1870;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
EPSG:26191;Lambert_Conformal_Conic-Maroc_N-Merchich;;;
EPSG:27561;Lambert_Conformal_Conic-ZoneI-NTF;;;
EPSG:27562;Lambert_Conformal_Conic-ZoneII-NTF;;;
EPSG:27563;Lambert_Conformal_Conic-ZoneIII-NTF;;;
Lambert_Conformal_Conic;Lambert_Conformal_Conic-ZoneIII-NTF;;;
EPSG:27573;Lambert_Conformal_Conic-ZoneIII_ext-NTF;;;
EPSG:27572;Lambert_Conformal_Conic-ZoneII_ext-NTF;;;
AUTO2:LCC,1,14.5,38,35,41;Lambert_Conformal_Conic_ICC_Mediterrani;;;
AUTO2:MERCATOR,1,0,0.0;Mercator-Equator-ED50-UB/ICC;;;
Mercator;Mercator-Equator-ED50-UB/ICC;;;
Mercator-ED50;Mercator-Equator-ED50-UB/ICC;;;
Mercator-ED50-UB/ICC;Mercator-Equator-ED50-UB/ICC;;;
Mercator-Ecuador-ED50-UB/ICC;Mercator-Equator-ED50-UB/ICC;;;
EPSG:3395;Mercator-Equator-WGS84;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
AUTO2:MERCATOR,1,0,40.60;Mercator-IHM-485-60k-ED50-UB/ICC;;;
AUTO2:MERCATOR,1,0,41.42;Mercator-IHM-489-50k-ED50-UB/ICC;;;
AUTO2:MERCATOR_WGS84,1,0,41.42;Mercator-IHM-489-50k-WGS84;;;
EPSG:3785;Mercator-Popular-Visualisation-Sphere;;;
EPSG:3857;Mercator-Popular-Visualisation-Sphere;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
urn:ogc:def:crs:EPSG::3857;Mercator-Popular-Visualisation-Sphere;;;
EPSG:900913;Mercator-Popular-Visualisation-Sphere;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
ESRI:102100;Mercator-Popular-Visualisation-Sphere;;;
EPSG:21782;ObliqueMercator-Rosenmund1903;;;
SR-ORG:6842;Sinusoidal-V5-MODIS;https://spatialreference.org/ref/sr-org/modis-sinusoidal/;https://spatialreference.org/ref/sr-org/modis-sinusoidal/;https://spatialreference.org/ref/sr-org/modis-sinusoidal/
SR-ORG:6974;Sinusoidal-V5-MODIS;https://spatialreference.org/ref/sr-org/modis-sinusoidal-3/;https://spatialreference.org/ref/sr-org/modis-sinusoidal-3/;https://spatialreference.org/ref/sr-org/modis-sinusoidal-3/
SR-ORG:6965;Sinusoidal-V5-MODIS;https://spatialreference.org/ref/sr-org/modis-sinusoidal-2/;https://spatialreference.org/ref/sr-org/modis-sinusoidal-2/;https://spatialreference.org/ref/sr-org/modis-sinusoidal-2/
Sinusoidal;Sinusoidal-WGS84;;;
EPSG:3909;TransverseMercator-BalkansMGI1901;;;
EPSG:2393;TransverseMercator-Finland-KKJ;;;
EPSG:29903;TransverseMercator-Ireland1965;;;
EPSG:2039;TransverseMercator-Israel1989;;;
EPSG:3003;TransverseMercator-Monte_Mario-Italy_Z1;;;
EPSG:3021;TransverseMercator-Sweden-RT90;;;
EPSG:26710;UTM-10N-NAD27-CW;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
EPSG:32610;UTM-10N-WGS84;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
EPSG:32611;UTM-11N-WGS84;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
EPSG:32612;UTM-12N-WGS84;Sense paràmetres TOWGS84 a https://epsg.io/;Sin parámetros TOWGS84 en https://epsg.io/;No TOWGS84 parameters at https://epsg.io/
